Field Name,Label,Type,Required,Unique,Picklist Values
WOD_2__Override_Part_Payment_Condition__c,Override Part Payment Condition,boolean,True,False,
WOD_2__Override_Policy__c,Override Policy,boolean,True,False,
WOD_2__Part_Description__c,Part Description,textarea,False,False,
WOD_2__Part_Serial_Number__c,Part Serial Number,string,False,False,
WOD_2__Part_Upper_Limit_Cost__c,Part Upper Limit Cost,currency,False,False,
WOD_2__Part__c,Part Number,reference,False,False,
WOD_2__Pre_Authorization_Comments__c,Pre-Authorization Comments,textarea,False,False,
WOD_2__Pre_Authorization_Reason__c,Pre-Authorization Reason,picklist,False,False,"Emissions, Goodwill, Major Parts Replacement, Third party cost"
WOD_2__Pre_Authorization_Status__c,Pre Authorization Status,picklist,False,False,"Pre-Authorization Pending Submission, Pre-Authorization Pending Approval, Pre-Authorization Approved, Pre-Authorization Rejected"
WOD_2__Pre_Authorization__c,Active Pre-Authorization,reference,False,False,
WOD_2__Rate__c,Rate,reference,False,False,
WOD_2__Received_Date__c,Received Date,date,False,False,
WOD_2__Related_Business_Unit__c,Related Business Unit,string,False,False,
WOD_2__Related_Record_Id__c,Related Record Id,string,False,False,
WOD_2__Related_Record_Name__c,Related Record Name,string,False,False,
WOD_2__Reopen_Description__c,Internal Reopen Description,textarea,False,False,
WOD_2__Reopen_Reason__c,External Reopen Reason,picklist,False,False,Others
WOD_2__Request_SMR__c,Request SMR,boolean,True,False,
WOD_2__Service_Ticket__c,Service Ticket,string,False,False,
WOD_2__Shipment_Number__c,Shipment Number,string,False,False,
WOD_2__Source_Claim__c,Source Claim,reference,False,False,
WOD_2__Start_Time__c,Start Time,time,False,False,
WOD_2__Submit_Date__c,Submission Date,date,False,False,
WOD_2__Submitted_By__c,Submitted By,reference,False,False,
WOD_2__Total_Handling_Cost__c,Total Handling Cost,currency,False,False,
WOD_2__Total_Landing_Cost__c,Total Landing Cost,currency,False,False,
WOD_2__Tr_Fault_Code_Comment__c,Translated Fault Code Comment,textarea,False,False,
WOD_2__Tr_Probable_Cause__c,Translated Probable Cause,textarea,False,False,
WOD_2__Tr_Work_Performed_Comments__c,Translated Work Performed Comments,textarea,False,False,
WOD_2__Units_Usage__c,Mileage End Repair,double,False,False,
WOD_2__Upcoming_Completed_Schedule__c,Upcoming/Completed Schedule,reference,False,False,
WOD_2__Warranty_Product__c,Warranty Product,reference,False,False,
WOD_2__Work_Order__c,Repair Order Number,string,False,False,
WOD_2__Work_Package_Headers__c,Work Package Headers,textarea,False,False,
WOD_2__Work_Performed_Comments__c,Work Performed Comments,textarea,False,False,
WOD_2__ClaimTemplateID__c,ClaimTemplateID,string,False,False,
WOD_2__Claim_Submission_Time__c,Claim Submission Time,double,False,False,
WOD_2__Repair_Name__c,Repair Name,string,False,False,
WOD_2__SMR_Reason__c,SMR Reason,picklist,False,False,"CLAIM FILED BEYOND ALLOWABLE TIME FRAME, EXPERIMENTAL UNIT OWNED BY TK CORP, PRE-AUTHORIZED REPAIR (AUTHORIZATION # REQUIRED), REFILING AT REQUEST OF A WARRANTY ANALYST, REPAIR MADE PRIOR TO UNIT SALE / REGISTRATION, REQUIRED PARTS ARE NOT AVAILABLE FOR RETURN, SERVICE MGR REVIEW REQUIRED, THIRD PARTY REPAIR, UNIT MODIFICATION, WRONGFUL BILLING TO SVC / CUSTOMER"
WOD_2__Policy_Type__c,Policy Preference,picklist,False,False,"Machine Policy, Part Policy"
WOD_2__Require_Recalc_Summary__c,Is Claim Financial Edited,boolean,True,False,
twodcms__Member_Template_Association__c,Member Template Association,reference,False,False,
Credit_Run_Number__c,Credit Run Number,string,False,False,
DTAG_Appeal_Reason__c,Appeal Reason,textarea,False,False,
DTAG_Applicable_Coverages__c,Applicable Coverages,string,False,False,
DTAG_Applicable_Policy_Group__c,Applicable Policy Group,picklist,False,False,"W&G, SC, Mixed"
DTAG_Approved_Amount_Converted__c,Approved Amount(Converted),double,False,False,
DTAG_BU_Currency__c,Business Unit Currency,string,False,False,
DTAG_Breakdown_Indicator__c,Breakdown Indicator,picklist,False,False,None
DTAG_Bulk_Upload_Unique_Id__c,Bulk Upload Unique Id,string,False,False,
DTAG_CS_Flag__c,CS Flag,boolean,True,False,
DTAG_ChargingCosts_OtherCost_UpperLimits__c,Charging Costs,currency,False,False,
DTAG_CommentSummary__c,DTAG_CommentSummary,textarea,False,False,
DTAG_Cost_Carrier_Code_Manual_Decision__c,Cost Carrier Code (Manual Decision),reference,False,False,
DTAG_Currency_Exchange_Rate__c,Exchange Rate Submitting Account to BU,double,False,False,
DTAG_Current_Version_No__c,Current Version No,string,False,False,
DTAG_Customer_charged__c,Customer charged,boolean,True,False,
DTAG_Damage_Code_In_Number__c,Damage Code In Number,double,False,False,
DTAG_Damage_Type_Description__c,Damage Type Description,string,False,False,
DTAG_Damage_Type__c,Damage Type,string,False,False,
DTAG_Dealer_Claim_Number__c,Dealer Claim Number,string,False,False,
DTAG_Decision_Codes__c,Decision Codes,textarea,False,False,
DTAG_Do_Not_Pay_DH__c,Do Not Pay DH,boolean,True,False,
DTAG_External_Id__c,External ID,string,False,True,
DTAG_Extternal_Status__c,Claim Status,string,False,False,
DTAG_ForeignLabor_OtherCost_Upper_Limits__c,Foreign Labor,currency,False,False,
