CurrencyIsoCode,WOD_2__Description__c,WOD_2__ShortDescription__c,DTAG_Business_Unit__c,DT_Brand__c,DTAG_External_Id__c
NZD,M1 360000,M1 360000,a0B9r000001UQPVEA4,Freightliner,S1360-NZ-901-AU-TOC-Local-Damage-Code
NZD,M2 375000,M2 375000,a0B9r000001UQPVEA4,Freightliner,S1375-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 390000,M1 390000,a0B9r000001UQPVEA4,Freightliner,S1390-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 405000,M1 405000,a0B9r000001UQPVEA4,Freightliner,S1405-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 420000,M1 420000,a0B9r000001UQPVEA4,Freightliner,S1420-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 435000,M1 435000,a0B9r000001UQPVEA4,Freightliner,S1435-NZ-901-AU-TOC-Local-Damage-Code
NZD,M3 450000,M3 450000,a0B9r000001UQPVEA4,Freightliner,S1450-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 465000,M1 465000,a0B9r000001UQPVEA4,Freightliner,S1465-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 480000,M1 480000,a0B9r000001UQPVEA4,Freightliner,S1480-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 495000,M1 495000,a0B9r000001UQPVEA4,Freightliner,S1495-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 510000,M1 510000,a0B9r000001UQPVEA4,Freightliner,S1510-NZ-901-AU-TOC-Local-Damage-Code
NZD,M2 525000,M2 525000,a0B9r000001UQPVEA4,Freightliner,S1525-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 540000,M1 540000,a0B9r000001UQPVEA4,Freightliner,S1540-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 555000,M1 555000,a0B9r000001UQPVEA4,Freightliner,S1555-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 570000,M1 570000,a0B9r000001UQPVEA4,Freightliner,S1570-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 585000,M1 585000,a0B9r000001UQPVEA4,Freightliner,S1585-NZ-901-AU-TOC-Local-Damage-Code
NZD,M2 600000,M2 600000,a0B9r000001UQPVEA4,Freightliner,S1600-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 615000,M1 615000,a0B9r000001UQPVEA4,Freightliner,S1615-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 630000,M1 630000,a0B9r000001UQPVEA4,Freightliner,S1630-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 645000,M1 645000,a0B9r000001UQPVEA4,Freightliner,S1645-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 660000,M1 660000,a0B9r000001UQPVEA4,Freightliner,S1660-NZ-901-AU-TOC-Local-Damage-Code
NZD,M3 675000,M3 675000,a0B9r000001UQPVEA4,Freightliner,S1675-NZ-901-AU-TOC-Local-Damage-Code
