Name,CatalogId,ParentCategoryId,Description,NumberOfProducts,IsNavigational
Control Boards and Modules,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,88,True
Din Rails and Snap Tracks,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,41,True
Electrical Cables,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,379,True
Electrical Contactors,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,27,True
Electrical Disconnect,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,20,True
Electrical Meters,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,6,True
Electrical Protective Devices,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,33,True
Electrical Timers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,1,True
Electrical Transformers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,16,True
Electrical Wire,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,2160,True
Fuses & Circuit Breakers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,149,True
Micro Switches,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,79,True
Percent Timers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,14,True
Power Supply,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,24,True
Pressure Transducers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,16,True
Relays,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,64,True
Solenoids,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,10,True
Speciality Cables,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,64,True
Switches,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,1,True
Terminal Strips,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,0,True
3 Wheel Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,,6,True
Agri-TRAC,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,,5,True
Articulating 4-Wheel Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,,6,True
Articulating Track Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,,1,True
Loegering Tracks,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,,5,True
RAAFT Track,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,,9,True
Spider Wheel,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,,4,True
Track Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,,3,True
Below Ground Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,,44,True
Furrow Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,,22,True
GPS Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,,156,True
Inlet Components,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,,170,True
Linear Alignment,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,,37,True
Linear Carts,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,,187,True
Linear Options,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,,12,True
Power Pedestal,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,,9,True
Bender Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,30,True
Booster Pumps,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,64,True
Cable Protection Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,18,True
Drive Unit Auto-Reverse Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,8,True
Drop Span Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,30,True
End Gun Control Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,19,True
End of Field Stops Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,49,True
Pump Connect,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,50,True
Running Lights,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,39,True
Installation Manuals,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,,0,True
Owner's Manuals,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,,0,True
Electrical Tools,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,,26,True
Field Mapping Tools,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,,12,True
Mechanical Tools,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,,19,True
Bracket and Mounts,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,154,True
Drains and Couplers,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,31,True
Fasteners,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,232,True
Flanges and End Plates,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,45,True
Flex Boots,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,24,True
Half Clamps,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,0,True
Hardware,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,575,True
Overhang Accessories,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,0,True
Overhang Cables,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,0,True
Rubber Gaskets,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,32,True
Span Clamps,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,68,True
Span Transitions,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,10,True
