Name,CatalogId,ParentCategoryId,IsNavigational
Electrical Protective Devices,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Timers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Transformers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Wire,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Fuses & Circuit Breakers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Micro Switches,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Percent Timers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Power Supply,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Pressure Transducers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Relays,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Solenoids,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Speciality Cables,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Switches,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Terminal Strips,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
3 Wheel Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Agri-TRAC,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Articulating 4-Wheel Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Articulating Track Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Loegering Tracks,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
RAAFT Track,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Spider Wheel,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Track Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Below Ground Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Furrow Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
GPS Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Inlet Components,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Linear Alignment,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Linear Carts,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Linear Options,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Power Pedestal,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Bender Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Booster Pumps,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Cable Protection Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Drive Unit Auto-Reverse Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Drop Span Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
End Gun Control Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
End of Field Stops Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Pump Connect,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Running Lights,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Installation Manuals,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True
Owner's Manuals,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True
Electrical Tools,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,True
Field Mapping Tools,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,True
Mechanical Tools,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,True
Bracket and Mounts,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Drains and Couplers,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Fasteners,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Flanges and End Plates,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Flex Boots,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Half Clamps,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Hardware,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Overhang Accessories,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Overhang Cables,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Rubber Gaskets,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Span Clamps,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Span Transitions,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Truss Components,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Weldment Options,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
