CatalogId,ParentCategoryId,Name,IsNavigational
0ZSRj00000002rROAQ,,Electrical Tools,True
0ZSRj00000002rROAQ,,Field Mapping Tools,True
0ZSRj00000002rROAQ,,Mechanical Tools,True
0ZSRj00000002rROAQ,,Bracket and Mounts,True
0ZSRj00000002rROAQ,,Drains and Couplers,True
0ZSRj00000002rROAQ,,Fasteners,True
0ZSRj00000002rROAQ,,Flanges and End Plates,True
0ZSRj00000002rROAQ,,Flex Boots,True
0ZSRj00000002rROAQ,,Half Clamps,True
0ZSRj00000002rROAQ,,Hardware,True
0ZSRj00000002rROAQ,,Overhang Accessories,True
0ZSRj00000002rROAQ,,Overhang Cables,True
0ZSRj00000002rROAQ,,Rubber Gaskets,True
0ZSRj00000002rROAQ,,Span Clamps,True
0ZSRj00000002rROAQ,,Span Transitions,True
0ZSRj00000002rROAQ,,Truss Components,True
0ZSRj00000002rROAQ,,Weldment Options,True
0ZSRj00000002rROAQ,,Overhang Cable,True
0ZSRj00000002rROAQ,,Boombacks,True
0ZSRj00000002rROAQ,,Drop Options,True
0ZSRj00000002rROAQ,,End Guns,True
0ZSRj00000002rROAQ,,Fixed Sprays,True
0ZSRj00000002rROAQ,,Impact Sprinklers,True
0ZSRj00000002rROAQ,,Rotating Sprays,True
0ZSRj00000002rROAQ,,Sprinkler Fittings,True
0ZSRj00000002rROAQ,,Sprinkler Gauges,True
0ZSRj00000002rROAQ,,Sprinkler Nozzles,True
0ZSRj00000002rROAQ,,Sprinkler Regulators,True
0ZSRj00000002rROAQ,,Sprinkler Repair,True
0ZSRj00000002rROAQ,,U-Pipes,True
0ZSRj00000002rROAQ,,Valves,True
0ZSRj00000002rROAQ,,Add Span Packages,True
0ZSRj00000002rROAQ,,Drive Unit Structure,True
0ZSRj00000002rROAQ,,Overhang Packages,True
0ZSRj00000002rROAQ,,Pipe & Stubs,True
0ZSRj00000002rROAQ,,Pivot Flex Options,True
0ZSRj00000002rROAQ,,Pivot Point,True
0ZSRj00000002rROAQ,,Truss Angles,True
0ZSRj00000002rROAQ,,Truss Rods,True
0ZSRj00000002rROAQ,,Miscellaneous Merchandising,True
