Name,CurrencyIsoCode,CatalogId,ParentCategoryId,IsNavigational
Control Boards and Modules,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Din Rails and Snap Tracks,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Cables,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Contactors,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Disconnect,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Meters,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Protective Devices,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Timers,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Transformers,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Wire,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Fuses & Circuit Breakers,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Micro Switches,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Percent Timers,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Power Supply,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Pressure Transducers,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Relays,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Solenoids,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Speciality Cables,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Switches,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Terminal Strips,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
3 Wheel Drive,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Agri-TRAC,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Articulating 4-Wheel Drive,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Articulating Track Drive,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Loegering Tracks,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
RAAFT Track,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Spider Wheel,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Track Drive,USD,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True
Below Ground Guidance,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Furrow Guidance,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
GPS Guidance,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Inlet Components,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Linear Alignment,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Linear Carts,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Linear Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Power Pedestal,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Bender Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Booster Pumps,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Cable Protection Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Drive Unit Auto-Reverse Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Drop Span Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
End Gun Control Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
End of Field Stops Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Pump Connect,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Running Lights,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Installation Manuals,USD,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True
Owner's Manuals,USD,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True
Electrical Tools,USD,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,True
Field Mapping Tools,USD,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,True
Mechanical Tools,USD,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,True
Bracket and Mounts,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Drains and Couplers,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Fasteners,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Flanges and End Plates,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Flex Boots,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Half Clamps,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Hardware,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Overhang Accessories,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Overhang Cables,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Rubber Gaskets,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Span Clamps,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Span Transitions,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Truss Components,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Weldment Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
Boombacks,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Drop Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
End Guns,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Fixed Sprays,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Impact Sprinklers,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Rotating Sprays,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Sprinkler Fittings,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Sprinkler Gauges,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Sprinkler Nozzles,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Sprinkler Regulators,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Sprinkler Repair,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
U-Pipes,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Valves,USD,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Add Span Packages,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Drive Unit Structure,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Overhang Packages,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Pipe & Stubs,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Pivot Flex Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Pivot Point,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Truss Angles,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Truss Rods,USD,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Battery,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Relays and Bases,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Overhang Cable,USD,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
VRI,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
X-TEC Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Control Valves,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Control Panel Repair,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True
Pressure Switches,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Terminal Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Pumping Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Merchandising,USD,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Miscellaneous Merchandising,USD,0ZSRj00000002rROAQ,0ZGRj00000003NhOAI,True
Above Ground Guidance,USD,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Pump Control Options,USD,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True
Owner's Manual,USD,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True
Installation Manual,USD,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True
Machine Diagnostics,USD,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
