Name,WOD_2__Business_Units__c,WOD_2__Standard_Labor_Hour__c,VRM_Resolution_Code__c,VRM_External_Id__c,VRM_Failure_Code__c
Charred Failure one end-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Charred Failure one end-Replace Component-1.5hr,a83cf0000002qOpAAI
Control Bearing Seized-Replace Tower Box-1hr,VRM-NA,1.0,a83cf0000002qQrAAI,Control Bearing Seized-Replace Tower Box-1hr,a83cf0000002qOqAAI
Factory Wiring Loose-Repair Wiring-1hr,VRM-NA,1.0,a83cf0000002qQoAAI,Factory Wiring Loose-Repair Wiring-1hr,a83cf0000002qOrAAI
Flex Joint Insert Failure-Replace Component-0.25hr,VRM-NA,0.25,a83cf0000002qQjAAI,Flex Joint Insert Failure-Replace Component-0.25hr,a83cf0000002qOsAAI
Gears Locked Up-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Gears Locked Up-Replace Component-2hr,a83cf0000002qOtAAI
Gears Locked Up-Replace Steering Gearbox-4hr,VRM-NA,4.0,a83cf0000002qQqAAI,Gears Locked Up-Replace Steering Gearbox-4hr,a83cf0000002qOtAAI
Input Bearing Failed-Replace Steering Gearbox-4hr,VRM-NA,4.0,a83cf0000002qQqAAI,Input Bearing Failed-Replace Steering Gearbox-4hr,a83cf0000002qOuAAI
Mis-manufactured-Repair Component-1hr,VRM-NA,1.0,a83cf0000002qQmAAI,Mis-manufactured-Repair Component-1hr,a83cf0000002qNWAAY
Motor Using Excessive Current-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Motor Using Excessive Current-Replace Component-1.5hr,a83cf0000002qOvAAI
No holes in shaft-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,No holes in shaft-Replace Component-1hr,a83cf0000002qOwAAI
Noise Excessive-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Noise Excessive-Replace Component-1.5hr,a83cf0000002qOxAAI
Output Bearing Failed-Replace Steering Gearbox-4hr,VRM-NA,4.0,a83cf0000002qQqAAI,Output Bearing Failed-Replace Steering Gearbox-4hr,a83cf0000002qOyAAI
Output Seal Leaking-Replace Steering Gearbox-4hr,VRM-NA,4.0,a83cf0000002qQqAAI,Output Seal Leaking-Replace Steering Gearbox-4hr,a83cf0000002qOzAAI
Output Seal Missing-Replace Steering Gearbox-4hr,VRM-NA,4.0,a83cf0000002qQqAAI,Output Seal Missing-Replace Steering Gearbox-4hr,a83cf0000002qP0AAI
Output Shaft Broken-Replace Steering Gearbox-4hr,VRM-NA,4.0,a83cf0000002qQqAAI,Output Shaft Broken-Replace Steering Gearbox-4hr,a83cf0000002qP1AAI
Phase Burned Both Ends-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Phase Burned Both Ends-Replace Component-1.5hr,a83cf0000002qP2AAI
Phase Burned One End-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Phase Burned One End-Replace Component-1.5hr,a83cf0000002qP3AAI
Phase To Ground Short-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Phase To Ground Short-Replace Component-1.5hr,a83cf0000002qP4AAI
Phase To Phase Open-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Phase To Phase Open-Replace Component-1.5hr,a83cf0000002qP5AAI
Phase To Phase Short-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Phase To Phase Short-Replace Component-1.5hr,a83cf0000002qP6AAI
Seal Leaking-Replace Seal-0.75hr,VRM-NA,0.75,a83cf0000002qQsAAI,Seal Leaking-Replace Seal-0.75hr,a83cf0000002qP7AAI
Seam Leaking-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Seam Leaking-Replace Component-1.5hr,a83cf0000002qP8AAI
Snap Ring Failed-Replace Steering Gearbox-4hr,VRM-NA,4.0,a83cf0000002qQqAAI,Snap Ring Failed-Replace Steering Gearbox-4hr,a83cf0000002qP9AAI
Steering arm loose-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Steering arm loose-Replace Component-1hr,a83cf0000002qPAAAY
Steering Gearmotor Failed-Replace Gearmotor-2hr,VRM-NA,2.0,a83cf0000002qQtAAI,Steering Gearmotor Failed-Replace Gearmotor-2hr,a83cf0000002qPBAAY
Steering Motor Failed-Replace Motor Module-1.5hr,VRM-NA,1.5,a83cf0000002qQuAAI,Steering Motor Failed-Replace Motor Module-1.5hr,a83cf0000002qPCAAY
Thermal Protection Failure-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Thermal Protection Failure-Replace Component-1.5hr,a83cf0000002qPDAAY
Tow Pin Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Tow Pin Failure-Replace Component-1hr,a83cf0000002qPEAAY
Worm Broken-Replace Component-3hr,VRM-NA,3.0,a83cf0000002qQjAAI,Worm Broken-Replace Component-3hr,a83cf0000002qPFAAY
Case Broken-Replace Gearmotor-1.5hr,VRM-NA,1.5,a83cf0000002qQtAAI,Case Broken-Replace Gearmotor-1.5hr,a83cf0000002qOnAAI
Gears Locked Up-Replace Gearmotor-1.5hr,VRM-NA,1.5,a83cf0000002qQtAAI,Gears Locked Up-Replace Gearmotor-1.5hr,a83cf0000002qOtAAI
Motor Using Excessive Current-Replace Gearmotor-1.5hr,VRM-NA,1.5,a83cf0000002qQtAAI,Motor Using Excessive Current-Replace Gearmotor-1.5hr,a83cf0000002qOvAAI
Noise Excessive-Replace Gearmotor-1.5hr,VRM-NA,1.5,a83cf0000002qQtAAI,Noise Excessive-Replace Gearmotor-1.5hr,a83cf0000002qOxAAI
Oil Reservoir Empty-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Oil Reservoir Empty-Replace Component-1.5hr,a83cf0000002qPGAAY
Other -- Fill in Comments-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Other -- Fill in Comments-Replace Component-1.5hr,a83cf0000002qNZAAY
Seal Missing-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Seal Missing-Replace Component-1.5hr,a83cf0000002qPHAAY
Seam Leaking-Replace Gearmotor-1.5hr,VRM-NA,1.5,a83cf0000002qQtAAI,Seam Leaking-Replace Gearmotor-1.5hr,a83cf0000002qP8AAI
Case Broken-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Case Broken-Replace Component-1.5hr,a83cf0000002qOnAAI
Gears Locked Up-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Gears Locked Up-Replace Component-1.5hr,a83cf0000002qOtAAI
Phase To Phase Resistance Unbalanced-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Phase To Phase Resistance Unbalanced-Replace Component-1.5hr,a83cf0000002qPIAAY
Plastic End Cap Missing-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Plastic End Cap Missing-Replace Component-1.5hr,a83cf0000002qPJAAY
Rotor Failed-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Rotor Failed-Replace Component-1.5hr,a83cf0000002qPKAAY
Seal Leaking-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Seal Leaking-Replace Component-1.5hr,a83cf0000002qP7AAI
Short In Junction Box-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Short In Junction Box-Replace Component-1.5hr,a83cf0000002qPLAAY
Single Phasing-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Single Phasing-Replace Component-1.5hr,a83cf0000002qPMAAY
Bearing Race Missing-Repair Component-2hr,VRM-NA,2.0,a83cf0000002qQmAAI,Bearing Race Missing-Repair Component-2hr,a83cf0000002qOlAAI
Bull Gear Broken-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Bull Gear Broken-Replace Component-2hr,a83cf0000002qOmAAI
Case Broken-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Case Broken-Replace Component-2hr,a83cf0000002qOnAAI
Coupling Failure-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Coupling Failure-Replace Component-2hr,a83cf0000002qPNAAY
Input Bearing Failed-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Input Bearing Failed-Replace Component-2hr,a83cf0000002qOuAAI
Input Seal Leaking-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Input Seal Leaking-Replace Component-2hr,a83cf0000002qPOAAY
Input Seal Leaking-Rebuild Gearbox-3hr,VRM-NA,3.0,a83cf0000002qQvAAI,Input Seal Leaking-Rebuild Gearbox-3hr,a83cf0000002qPOAAY
Input Shaft Broken-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Input Shaft Broken-Replace Component-2hr,a83cf0000002qPPAAY
Lug Bolts Broken-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Lug Bolts Broken-Replace Component-2hr,a83cf0000002qPQAAY
Mounting Bolts Broken-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Mounting Bolts Broken-Replace Component-2hr,a83cf0000002qPRAAY
Oil Reservoir Empty-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Oil Reservoir Empty-Replace Component-2hr,a83cf0000002qPGAAY
Other -- Fill in Comments-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Other -- Fill in Comments-Replace Component-2hr,a83cf0000002qNZAAY
Output Bearing Failed-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Output Bearing Failed-Replace Component-2hr,a83cf0000002qOyAAI
Output Seal Leaking-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Output Seal Leaking-Replace Component-2hr,a83cf0000002qOzAAI
Output Seal Leaking-Rebuild Gearbox-3hr,VRM-NA,3.0,a83cf0000002qQvAAI,Output Seal Leaking-Rebuild Gearbox-3hr,a83cf0000002qOzAAI
Output Seal Missing-Repair Component-2hr,VRM-NA,2.0,a83cf0000002qQmAAI,Output Seal Missing-Repair Component-2hr,a83cf0000002qP0AAI
Output Seal Missing-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Output Seal Missing-Replace Component-2hr,a83cf0000002qP0AAI
Output Shaft Broken-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Output Shaft Broken-Replace Component-2hr,a83cf0000002qP1AAI
Snap Ring Failed-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Snap Ring Failed-Replace Component-2hr,a83cf0000002qP9AAI
Threads Missing-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Threads Missing-Replace Component-2hr,a83cf0000002qPSAAY
Worm Broken-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Worm Broken-Replace Component-2hr,a83cf0000002qPFAAY
Mis-manufactured-Replace Component-0.25hr,VRM-NA,0.25,a83cf0000002qQjAAI,Mis-manufactured-Replace Component-0.25hr,a83cf0000002qNWAAY
Other -- Fill in Comments-Replace Component-4hr,VRM-NA,4.0,a83cf0000002qQjAAI,Other -- Fill in Comments-Replace Component-4hr,a83cf0000002qNZAAY
Part Dimensions Incorrect-Replace Component-4hr,VRM-NA,4.0,a83cf0000002qQjAAI,Part Dimensions Incorrect-Replace Component-4hr,a83cf0000002qNaAAI
Input Seal Leaking-Repair GB-1hr,VRM-NA,1.0,a83cf0000002qQwAAI,Input Seal Leaking-Repair GB-1hr,a83cf0000002qPOAAY
Output Seal Leaking-Repair Component-1hr,VRM-NA,1.0,a83cf0000002qQmAAI,Output Seal Leaking-Repair Component-1hr,a83cf0000002qOzAAI
Bearing Race Missing-Rebuild Gearbox-3hr,VRM-NA,3.0,a83cf0000002qQvAAI,Bearing Race Missing-Rebuild Gearbox-3hr,a83cf0000002qOlAAI
Bull Gear Broken-Rebuild Gearbox-3hr,VRM-NA,3.0,a83cf0000002qQvAAI,Bull Gear Broken-Rebuild Gearbox-3hr,a83cf0000002qOmAAI
Case Broken-Rebuild Gearbox-3hr,VRM-NA,3.0,a83cf0000002qQvAAI,Case Broken-Rebuild Gearbox-3hr,a83cf0000002qOnAAI
Diaphragm Faulty-Repair GB-0.25hr,VRM-NA,0.25,a83cf0000002qQwAAI,Diaphragm Faulty-Repair GB-0.25hr,a83cf0000002qPTAAY
Flex Joint Insert Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Flex Joint Insert Failure-Replace Component-1hr,a83cf0000002qOsAAI
Gears Locked Up-Rebuild Gearbox-3hr,VRM-NA,3.0,a83cf0000002qQvAAI,Gears Locked Up-Rebuild Gearbox-3hr,a83cf0000002qOtAAI
Input Bearing Failed-Rebuild Gearbox-3hr,VRM-NA,3.0,a83cf0000002qQvAAI,Input Bearing Failed-Rebuild Gearbox-3hr,a83cf0000002qOuAAI
Lug Bolts Broken-Repair GB-1hr,VRM-NA,1.0,a83cf0000002qQwAAI,Lug Bolts Broken-Repair GB-1hr,a83cf0000002qPQAAY
Mounting Bolts Broken-Repair GB-0.25hr,VRM-NA,0.25,a83cf0000002qQwAAI,Mounting Bolts Broken-Repair GB-0.25hr,a83cf0000002qPRAAY
Oil Reservoir Empty-Replace Component-3hr,VRM-NA,3.0,a83cf0000002qQjAAI,Oil Reservoir Empty-Replace Component-3hr,a83cf0000002qPGAAY
Output Bearing Failed-Rebuild Gearbox-3hr,VRM-NA,3.0,a83cf0000002qQvAAI,Output Bearing Failed-Rebuild Gearbox-3hr,a83cf0000002qOyAAI
Output Seal Missing-Rebuild Gearbox-3hr,VRM-NA,3.0,a83cf0000002qQvAAI,Output Seal Missing-Rebuild Gearbox-3hr,a83cf0000002qP0AAI
Snap Ring Failed-Rebuild Gearbox-3hr,VRM-NA,3.0,a83cf0000002qQvAAI,Snap Ring Failed-Rebuild Gearbox-3hr,a83cf0000002qP9AAI
Bead Damaged-Repair Component-1hr,VRM-NA,1.0,a83cf0000002qQmAAI,Bead Damaged-Repair Component-1hr,a83cf0000002qPUAAY
Corrosion On Wheel-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Corrosion On Wheel-Replace Component-1hr,a83cf0000002qPVAAY
Galvanizing Burrs-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Galvanizing Burrs-Replace Component-1hr,a83cf0000002qPWAAY
Rim Damaged-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Rim Damaged-Replace Component-1hr,a83cf0000002qPXAAY
Tire Leaking Air-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Tire Leaking Air-Replace Component-1hr,a83cf0000002qPYAAY
Tire Leaking Air-Repair Component-1hr,VRM-NA,1.0,a83cf0000002qQmAAI,Tire Leaking Air-Repair Component-1hr,a83cf0000002qPYAAY
Tire Split-Repair Component-1hr,VRM-NA,1.0,a83cf0000002qQmAAI,Tire Split-Repair Component-1hr,a83cf0000002qPZAAY
Tire Split-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Tire Split-Replace Component-1hr,a83cf0000002qPZAAY
Tube Pinched-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Tube Pinched-Replace Component-1hr,a83cf0000002qPaAAI
Tube Pinched-Repair Component-1hr,VRM-NA,1.0,a83cf0000002qQmAAI,Tube Pinched-Repair Component-1hr,a83cf0000002qPaAAI
Valve Stem Leaking-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Valve Stem Leaking-Replace Component-1hr,a83cf0000002qPbAAI
Valve Stem Leaking-Repair Component-1hr,VRM-NA,1.0,a83cf0000002qQmAAI,Valve Stem Leaking-Repair Component-1hr,a83cf0000002qPbAAI
Valve Stem Missing-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Valve Stem Missing-Replace Component-1hr,a83cf0000002qPcAAI
Control Bearing Seized-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Control Bearing Seized-Replace Component-1hr,a83cf0000002qOqAAI
Housing Damaged-Replace Component-0hr,VRM-NA,0.0,a83cf0000002qQjAAI,Housing Damaged-Replace Component-0hr,a83cf0000002qNoAAI
Latch Inoperable-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Latch Inoperable-Replace Component-1hr,a83cf0000002qPdAAI
OW Timer Doesn't Break Safety-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,OW Timer Doesn't Break Safety-Replace Component-1hr,a83cf0000002qPeAAI
OW Timer Doesn't Hold Safety-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,OW Timer Doesn't Hold Safety-Replace Component-1hr,a83cf0000002qPfAAI
Run Microswitch Fails Closed-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Run Microswitch Fails Closed-Replace Component-1hr,a83cf0000002qPgAAI
Run Microswitch Fails Open-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Run Microswitch Fails Open-Replace Component-1hr,a83cf0000002qPhAAI
Safety Microswitch Fails Closed-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Safety Microswitch Fails Closed-Replace Component-1hr,a83cf0000002qPiAAI
Safety Microswitch Fails Open-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Safety Microswitch Fails Open-Replace Component-1hr,a83cf0000002qPjAAI
Single Phasing-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Single Phasing-Replace Component-1hr,a83cf0000002qPMAAY
Solenoid Valve Fails-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Solenoid Valve Fails-Replace Component-1hr,a83cf0000002qPkAAI
Terminal Block Defective-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Terminal Block Defective-Replace Component-1hr,a83cf0000002qPlAAI
Terminal Strip Stripped Out-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Terminal Strip Stripped Out-Replace Component-1hr,a83cf0000002qPmAAI
Tower Ahead Forward-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Tower Ahead Forward-Replace Component-1hr,a83cf0000002qPnAAI
Tower Behind Forward-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Tower Behind Forward-Replace Component-1hr,a83cf0000002qPoAAI
Tower Behind Reverse-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Tower Behind Reverse-Replace Component-1hr,a83cf0000002qPpAAI
Tower Box Cover Fell Off-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Tower Box Cover Fell Off-Replace Component-1hr,a83cf0000002qPqAAI
Tower Ahead Reverse-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Tower Ahead Reverse-Replace Component-1hr,a83cf0000002qPrAAI
Bearing Seized-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Bearing Seized-Replace Component-2hr,a83cf0000002qPsAAI
Terminal Strip Stripped Out-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Terminal Strip Stripped Out-Replace Component-2hr,a83cf0000002qPmAAI
120 Volt Input/Output Failure-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,120 Volt Input/Output Failure-Replace Component-1.5hr,a83cf0000002qPtAAI
5 Volt Power Supply Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,5 Volt Power Supply Failure-Replace Component-1hr,a83cf0000002qPuAAI
Keypad Error 13-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Keypad Error 13-Replace Component-1hr,a83cf0000002qPvAAI
Service Tool Test Failed-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Service Tool Test Failed-Replace Component-1hr,a83cf0000002qPwAAI
Other -- Fill in Comments-Replace Span Cable-1hr,VRM-NA,1.0,a83cf0000002qQxAAI,Other -- Fill in Comments-Replace Span Cable-1hr,a83cf0000002qNZAAY
12 Volt Power Supply-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,12 Volt Power Supply-Replace Component-1hr,a83cf0000002qPxAAI
Galvanizing Excessive-Repair Component-1hr,VRM-NA,1.0,a83cf0000002qQmAAI,Galvanizing Excessive-Repair Component-1hr,a83cf0000002qO9AAI
System out of Alignment-Re-align System-2hr,VRM-NA,2.0,a83cf0000002qQyAAI,System out of Alignment-Re-align System-2hr,a83cf0000002qPyAAI
120 Volt Input/Output Failure-Replace 2hp BP Motor-2hr,VRM-NA,2.0,a83cf0000002qQzAAI,120 Volt Input/Output Failure-Replace 2hp BP Motor-2hr,a83cf0000002qPtAAI
120 Volt Input/Output Failure-Replace 2hp BP Complete-2.5hr,VRM-NA,2.5,a83cf0000002qR0AAI,120 Volt Input/Output Failure-Replace 2hp BP Complete-2.5hr,a83cf0000002qPtAAI
120 Volt Input/Output Failure-Replace 5 or 7.5 hp BP Motor-2hr,VRM-NA,2.0,a83cf0000002qR1AAI,120 Volt Input/Output Failure-Replace 5 or 7.5 hp BP Motor-2hr,a83cf0000002qPtAAI
120 Volt Input/Output Failure-Replace 5 or 7.5 hp BP Complete-4hr,VRM-NA,4.0,a83cf0000002qR2AAI,120 Volt Input/Output Failure-Replace 5 or 7.5 hp BP Complete-4hr,a83cf0000002qPtAAI
Bearing Seized-Replace 2hp BP Motor-2hr,VRM-NA,2.0,a83cf0000002qQzAAI,Bearing Seized-Replace 2hp BP Motor-2hr,a83cf0000002qPsAAI
Bearing Seized-Replace 2hp BP Complete-2.5hr,VRM-NA,2.5,a83cf0000002qR0AAI,Bearing Seized-Replace 2hp BP Complete-2.5hr,a83cf0000002qPsAAI
Bearing Seized-Replace 5 or 7.5 hp BP Motor-2hr,VRM-NA,2.0,a83cf0000002qR1AAI,Bearing Seized-Replace 5 or 7.5 hp BP Motor-2hr,a83cf0000002qPsAAI
Bearing Seized-Replace 5 or 7.5 hp BP Complete-4hr,VRM-NA,4.0,a83cf0000002qR2AAI,Bearing Seized-Replace 5 or 7.5 hp BP Complete-4hr,a83cf0000002qPsAAI
Corrosion-Replace 2hp BP Motor-2hr,VRM-NA,2.0,a83cf0000002qQzAAI,Corrosion-Replace 2hp BP Motor-2hr,a83cf0000002qPzAAI
Corrosion-Replace 2hp BP Complete-2.5hr,VRM-NA,2.5,a83cf0000002qR0AAI,Corrosion-Replace 2hp BP Complete-2.5hr,a83cf0000002qPzAAI
Corrosion-Replace 5 or 7.5 hp BP Motor-2hr,VRM-NA,2.0,a83cf0000002qR1AAI,Corrosion-Replace 5 or 7.5 hp BP Motor-2hr,a83cf0000002qPzAAI
Corrosion-Replace 5 or 7.5 hp BP Complete-4hr,VRM-NA,4.0,a83cf0000002qR2AAI,Corrosion-Replace 5 or 7.5 hp BP Complete-4hr,a83cf0000002qPzAAI
Housing Damaged-Replace 2hp BP Motor-2hr,VRM-NA,2.0,a83cf0000002qQzAAI,Housing Damaged-Replace 2hp BP Motor-2hr,a83cf0000002qNoAAI
Housing Damaged-Replace 2hp BP Complete-2.5hr,VRM-NA,2.5,a83cf0000002qR0AAI,Housing Damaged-Replace 2hp BP Complete-2.5hr,a83cf0000002qNoAAI
Housing Damaged-Replace 5 or 7.5 hp BP Motor-2hr,VRM-NA,2.0,a83cf0000002qR1AAI,Housing Damaged-Replace 5 or 7.5 hp BP Motor-2hr,a83cf0000002qNoAAI
Housing Damaged-Replace 5 or 7.5 hp BP Complete-4hr,VRM-NA,4.0,a83cf0000002qR2AAI,Housing Damaged-Replace 5 or 7.5 hp BP Complete-4hr,a83cf0000002qNoAAI
Impeller Seized-Repair Component-1.5hr,VRM-NA,1.5,a83cf0000002qQmAAI,Impeller Seized-Repair Component-1.5hr,a83cf0000002qQ0AAI
Shipment Damage-Replace 2hp BP Motor-0hr,VRM-NA,0.0,a83cf0000002qQzAAI,Shipment Damage-Replace 2hp BP Motor-0hr,a83cf0000002qNbAAI
Shipment Damage-Replace 2hp BP Complete-0hr,VRM-NA,0.0,a83cf0000002qR0AAI,Shipment Damage-Replace 2hp BP Complete-0hr,a83cf0000002qNbAAI
Shipment Damage-Replace 5 or 7.5 hp BP Motor-0hr,VRM-NA,0.0,a83cf0000002qR1AAI,Shipment Damage-Replace 5 or 7.5 hp BP Motor-0hr,a83cf0000002qNbAAI
Shipment Damage-Replace 5 or 7.5 hp BP Complete-0hr,VRM-NA,0.0,a83cf0000002qR2AAI,Shipment Damage-Replace 5 or 7.5 hp BP Complete-0hr,a83cf0000002qNbAAI
Light Burned Out-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Light Burned Out-Replace Component-1hr,a83cf0000002qQ1AAI
Weld Cracked-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Weld Cracked-Replace Component-1hr,a83cf0000002qQ2AAI
Weld Cracked-Weld In Field-1hr,VRM-NA,1.0,a83cf0000002qQlAAI,Weld Cracked-Weld In Field-1hr,a83cf0000002qQ2AAI
Cable Broken-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Cable Broken-Replace Component-2hr,a83cf0000002qQ3AAI
Cable End Failure-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Cable End Failure-Replace Component-2hr,a83cf0000002qOTAAY
Cable Pulled Out-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Cable Pulled Out-Replace Component-2hr,a83cf0000002qQ4AAI
Gasket Degrading-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Gasket Degrading-Replace Component-1hr,a83cf0000002qQ5AAI
Gasket Pushing Out-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Gasket Pushing Out-Replace Component-1hr,a83cf0000002qQ6AAI
Threads Mismanufactured-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Threads Mismanufactured-Replace Component-1hr,a83cf0000002qQ7AAI
Will Not Rotate-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Will Not Rotate-Replace Component-1hr,a83cf0000002qNcAAI
Cracked Pivot Swivel-Replace Pivot Swivel-1hr,VRM-NA,1.0,a83cf0000002qR3AAI,Cracked Pivot Swivel-Replace Pivot Swivel-1hr,a83cf0000002qQ8AAI
ABC,VRM-NA,,,ABC,
CDE,VRM-NA,,,CDE,
EFG,VRM-NA,,,EFG,
XYZ,VRM-NA,,,XYZ,
UVW,VRM-NA,,,UVW,
PST,VRM-NA,,,PST,
ABC-XYZ-1hr,VRM-NA,1.0,a83cf0000002uu9AAA,ABC-XYZ-1hr,a83cf0000002usXAAQ
CDE-UVW-1hr,VRM-NA,1.0,a83cf0000002uuAAAQ,CDE-UVW-1hr,a83cf0000002usYAAQ
EFG-PST-1hr,VRM-NA,1.0,a83cf0000002uuBAAQ,EFG-PST-1hr,a83cf0000002usZAAQ
