WOD_2__Policy_Filter_Condition__c,WOD_2__Transfer_Fee__c,Mark_Policy_As_Primary_HDI__c,Coverage_transfer_window_period_fromdate__c,WOD_2__Coverage_Based_On__c,EWP_End_WP_from_Shipment_Date_HDI__c,WOD_2__Sub_Type__c,Machine_Hours_Energy_Units_Covered_HDI__c,WOD_2__Transferable_Month__c,Comments__c,Policy_Name_HDI__c,WOD_2__Months_Covered_From__c,Job_Code_Group_HDI__c,Build_Date_Applicable_HDI__c,Is_Third_Party_Policy_HDI__c,WOD_2__Description__c,WOD_2__Pricebook_Type__c,Name,WOD_2__Terms_Condition__c,Business_Unit_HDI__c,Customer_Type__c,WOD_2__Is_Policy_Optional__c,WOD_2__Type__c,Installer_Certification_Status_HDI__c,Is_Policy_Displayed_To_Internal_Users_On__c,WOD_2__Active_From__c,Registration_Price__c,WOD_2__Status__c,Limit_of_Liability_HDI__c,WOD_2__Business_Units__c,Is_Attachment_Mandatory_HDI__c,WOD_2__Days_Covered__c,WOD_2__Inclusion__c,Months_Covered_From_Invoice_Date_HDI__c,WOD_2__Transferable__c,WOD_2__Months_Covered__c,WOD_2__Days_Covered_From__c,Maxi_number_of_transfer_to_end_customers__c,WOD_2__Category_To_Apply_Degradation__c,Is_Policy_Applicable_for_DR_HDI__c,WOD_2__Active_Until__c,EWP_Start_WP_from_Delivery_Date_HDI__c,WOD_2__Exclusion__c,WOD_2__Expression__c,Months_Covered_From_Shipment_HDI__c,Months_Covered_FRM_OriginalDate_HDI__c,Ownership_State_HDI__c,WOD_2__Priority__c,Forced_Selection_Needed_During_DR_HDI__c,External_ID_HDI__c,Months_Covered_From_Build_Date_HDI__c,Policy_Group_Name_HDI__c,Item_Condition_HDI__c,WOD_2__Default_Policy_Definition__c,WOD_2__Extended_Policy_Cost__c,EWP_End_WP_from_Delivery_Date_HDI__c
AND,0.0,False,9999999999.0,,99999.0,,7500.0,,,72 Months 7500 Hours Protection Plus FULL,,STANDARD_FULL,False,False,72 Months 4000 Hours Protection Plus FULL,,EXT-PP-72-7500-FULL-LP,,NORTHAMERICA,"Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;Dealer Rental/ RPO",False,EXTENDED,ANY,False,2015-10-01,,Active,,NORTHAMERICA,False,,,0.0,True,72.0,,,,False,2070-10-16,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,5256.0,False,,0.0,FULL;PARTS_LABOR,NEW,False,,99999.0
AND,0.0,False,,,99999.0,,4000.0,,No machines should have this coverage.,Standard Standard 24 Months or 4000 Hours Full machine Distance Labour Parts,,,False,False,Standard Standard 24 Months or 4000 Hours Full machine Distance Labour Parts,,STD-S-24-4000-FULL-DLP,"<p><span style=""font-size: 14px;"">DL modes removed from this poicy and included in &quot;Standard Standard 12 Months or 1000 Hours Full machine Distance Labour Parts&quot;.</span></p>",EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,False,STANDARD,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,30.0,True,24.0,,,,True,2060-01-01,0.0,,,0.0,0.0,First Owner,1112.0,False,,0.0,DISTANCE_LABOUR_PARTS;CONSIGNMENT_POLICY,NEW,False,,99999.0
OR,,False,,,,,2000.0,,,"Develon Premium Extended Warranty 24 months or 2,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 2,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-2000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,24.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6019.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,3000.0,,,"Develon Premium Extended Warranty 24 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-3000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,24.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6020.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,4000.0,,,"Develon Premium Extended Warranty 24 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-4000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,24.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6021.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,5000.0,,,"Develon Premium Extended Warranty 24 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 24 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-24-5000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,24.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6022.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,3000.0,,,"Develon Premium Extended Warranty 36 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 3,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-3000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,36.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6023.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,4500.0,,,"Develon Premium Extended Warranty 36 months or 4,500 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 4,500 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-4500-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,36.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6024.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,6000.0,,,"Develon Premium Extended Warranty 36 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-6000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,36.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6025.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,7500.0,,,"Develon Premium Extended Warranty 36 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 36 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-36-7500-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,36.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6026.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,10000.0,,,"Develon Premium Extended Warranty 48 months or 10,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 48 months or 10,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-48-10000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,48.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6027.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,4000.0,,,"Develon Premium Extended Warranty 48 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 48 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-48-4000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,48.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6028.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,6000.0,,,"Develon Premium Extended Warranty 48 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 48 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-48-6000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,48.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6029.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,8000.0,,,"Develon Premium Extended Warranty 48 months or 8,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 48 months or 8,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-48-8000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,48.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6030.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,10000.0,,,"Develon Premium Extended Warranty 60 months or 10,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 60 months or 10,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-60-10000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,60.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6031.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,5000.0,,,"Develon Premium Extended Warranty 60 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 60 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-60-5000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,60.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6032.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,,False,,,,,7500.0,,,"Develon Premium Extended Warranty 60 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 60 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-60-7500-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,Active,,EUROPE,False,,,,True,60.0,,,,False,2060-12-31,0.0,,,,,First Owner;Preowned;Dealer Rental,6034.0,False,,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,False,,99999.0
OR,0.0,False,,,99999.0,,8000.0,,,Extended Standard 48 Months or 8000 Hours Powertrain Parts,,,False,False,Extended Standard 48 Months or 8000 Hours Powertrain Parts,,EXT-S-48-8000-POWERTRAIN-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,48.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,332.0,False,110000000017880,0.0,PARTS;TRANSMISSION;PARTS ONLY;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,10000.0,,,Extended Standard 60 Months or 10000 Hours Powertrain Parts,,,False,False,Extended Standard 60 Months or 10000 Hours Powertrain Parts,,EXT-S-60-10000-POWERTRAIN-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,60.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,333.0,False,110000000017900,0.0,PARTS;TRANSMISSION;PARTS ONLY;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,0.0,,4000.0,,,Extended Protection Plus 24 Months or 4000 Hours Full machine Distance Labour Parts,,,False,False,Extended Protection Plus 24 Months or 4000 Hours Full machine Distance Labour Parts,,EXT-PP-24-4000-PPFULL-DLP,,EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,True,EXTENDED,ANY,False,2009-01-01,,Active,,EUROPE,False,,,72.0,True,24.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,340.0,False,110000000017920,0.0,PARTS_LABOR_TRAVEL;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,999999.0
OR,0.0,False,,,0.0,,6000.0,,,Extended Protection Plus 36 Months or 6000 Hours Full machine Distance Labour Parts,,,False,False,Extended Protection Plus 36 Months or 6000 Hours Full machine Distance Labour Parts,,EXT-PP-36-6000-PPFULL-DLP,,EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,True,EXTENDED,ANY,False,2009-01-01,,Active,,EUROPE,False,,,72.0,True,36.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,341.0,False,110000000017940,0.0,PARTS_LABOR_TRAVEL;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,0.0,,8000.0,,,Extended Protection Plus 48 Months or 8000 Hours Full machine Distance Labour Parts,,,False,False,Extended Protection Plus 48 Months or 8000 Hours Full machine Distance Labour Parts,,EXT-PP-48-8000-PPFULL-DLP,,EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,True,EXTENDED,ANY,False,2009-01-01,,Active,,EUROPE,False,,,72.0,True,48.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,342.0,False,110000000017960,0.0,PARTS_LABOR_TRAVEL;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,0.0,,10000.0,,,Extended Protection Plus 60 Months or 10000 Hours Full machine Distance Labour Parts,,,False,False,Extended Protection Plus 60 Months or 10000 Hours Full machine Distance Labour Parts,,EXT-PP-60-10000-PPFULL-DLP,,EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,True,EXTENDED,ANY,False,2009-01-01,,Active,,EUROPE,False,,,0.0,True,60.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,343.0,False,110000000017980,0.0,PARTS_LABOR_TRAVEL;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,4000.0,,,Extended Protection Plus 24 Months or 4000 Hours Full machine Parts,,,False,False,Extended Protection Plus 24 Months or 4000 Hours Full machine Parts,,EXT-PP-24-4000-PPFULL-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,24.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,350.0,False,110000000018000,0.0,PARTS ONLY;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,6000.0,,,Extended Protection Plus 36 Months or 6000 Hours Full machine Parts,,,False,False,Extended Protection Plus 36 Months or 6000 Hours Full machine Parts,,EXT-PP-36-6000-PPFULL-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,36.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,351.0,False,110000000018020,0.0,PARTS ONLY;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,8000.0,,,Extended Protection Plus 48 Months or 8000 Hours Full machine Parts,,,False,False,Extended Protection Plus 48 Months or 8000 Hours Full machine Parts,,EXT-PP-48-8000-PPFULL-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,48.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,352.0,False,110000000018040,0.0,PARTS ONLY;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,10000.0,,,Extended Protection Plus 60 Months or 10000 Hours Full machine Parts,,,False,False,Extended Protection Plus 60 Months or 10000 Hours Full machine Parts,,EXT-PP-60-10000-PPFULL-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,60.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,353.0,False,110000000018060,0.0,PARTS ONLY;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,4000.0,,,Extended Protection Plus 24 Months or 4000 Hours Powertrain Distance Labour Parts,,,False,False,Extended Protection Plus 24 Months or 4000 Hours Powertrain Distance Labour Parts,,EXT-PP-24-4000-POWERTRAIN-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,24.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,360.0,False,110000000018080,0.0,PARTS_LABOR_TRAVEL;Protection Plus;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,6000.0,,,Extended Protection Plus 36 Months or 6000 Hours Powertrain Distance Labour Parts,,,False,False,Extended Protection Plus 36 Months or 6000 Hours Powertrain Distance Labour Parts,,EXT-PP-36-6000-POWERTRAIN-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,36.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,361.0,False,110000000018100,0.0,PARTS_LABOR_TRAVEL;Protection Plus;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,8000.0,,,Extended Protection Plus 48 Months or 8000 Hours Powertrain Distance Labour Parts,,,False,False,Extended Protection Plus 48 Months or 8000 Hours Powertrain Distance Labour Parts,,EXT-PP-48-8000-POWERTRAIN-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,48.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,362.0,False,110000000018120,0.0,PARTS_LABOR_TRAVEL;Protection Plus;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,10000.0,,,Extended Protection Plus 60 Months or 10000 Hours Powertrain Distance Labour Parts,,,False,False,Extended Protection Plus 60 Months or 10000 Hours Powertrain Distance Labour Parts,,EXT-PP-60-10000-POWERTRAIN-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,60.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,363.0,False,110000000018140,0.0,PARTS_LABOR_TRAVEL;Protection Plus;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,4000.0,,,Extended Protection Plus 24 Months or 4000 Hours Powertrain Parts,,,False,False,Extended Protection Plus 24 Months or 4000 Hours Powertrain Parts,,EXT-PP-24-4000-POWERTRAIN-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,24.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,370.0,False,110000000018160,0.0,PARTS ONLY;Protection Plus;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,6000.0,,,Extended Protection Plus 36 Months or 6000 Hours Powertrain Parts,,,False,False,Extended Protection Plus 36 Months or 6000 Hours Powertrain Parts,,EXT-PP-36-6000-POWERTRAIN-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,36.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,371.0,False,110000000018180,0.0,PARTS ONLY;Protection Plus;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,8000.0,,,Extended Protection Plus 48 Months or 8000 Hours Powertrain Parts,,,False,False,Extended Protection Plus 48 Months or 8000 Hours Powertrain Parts,,EXT-PP-48-8000-POWERTRAIN-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,48.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,372.0,False,110000000018200,0.0,PARTS ONLY;Protection Plus;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
OR,0.0,False,,,99999.0,,10000.0,,,Extended Protection Plus 60 Months or 10000 Hours Powertrain Parts,,,False,False,Extended Protection Plus 60 Months or 10000 Hours Powertrain Parts,,EXT-PP-60-10000-POWERTRAIN-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,Inactive,,EUROPE,False,,,72.0,True,60.0,,,,False,2060-01-01,0.0,,,0.0,0.0,First Owner;Preowned;Dealer Rental,373.0,False,110000000018220,0.0,PARTS ONLY;Protection Plus;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,False,,99999.0
